1,4,AFG,Afghanistan,アフガニスタン・イスラム共和国,AFN
2,248,ALA,Aland Islands,オーランド諸島,EUR
3,8,ALB,Albania,アルバニア共和国,ALL
4,12,DZA,Algeria,アルジェリア民主人民共和国,DZD
5,16,ASM,American Samoa,米領サモア,WST
6,20,AND,Andorra,アンドラ公国,EUR
7,24,AGO,Angola,アンゴラ共和国,AOA
8,660,AIA,Anguilla,アンギラ,XCD
9,10,ATA,Antarctica,南極,aAAAA
10,28,ATG,Antigua and Barbuda,アンティグア・バーブーダ,XCD
11,32,ARG,Argentina,アルゼンチン共和国,ARS
12,51,ARM,Armenia,アルメニア共和国,AMD
13,533,ABW,Aruba,アルバ,AWG
14,36,AUS,Australia,オーストラリア連邦,AUD
15,40,AUT,Austria,オーストリア共和国,EUR
16,31,AZE,Azerbaijan,アゼルバイジャン共和国,AZN
17,44,BHS,Bahamas,バハマ国,BSD
18,48,BHR,Bahrain,バーレーン王国,BHD
19,50,BGD,Bangladesh,バングラデシュ人民共和国,BDT
20,52,BRB,Barbados,バルバドス,BBD
21,112,BLR,Belarus,ベラルーシ共和国,BYN
22,56,BEL,Belgium,ベルギー王国,EUR
23,84,BLZ,Belize,ベリーズ,BZD
24,204,BEN,Benin,ベナン共和国,XOF
25,60,BMU,Bermuda,バミューダ諸島,BMD
26,64,BTN,Bhutan,ブータン王国,BTN
27,68,BOL,Bolivia Plurinational State of,ボリビア多民族国,BOB
28,535,BES,Bonaire Saint Eustatius and Saba,ボネール、シント・ユースタティウスおよびサバ,USD
29,70,BIH,Bosnia and Herzegovina,ボスニア・ヘルツェゴビナ,BAM
30,72,BWA,Botswana,ボツワナ共和国,BWP
31,74,BVT,Bouvet Island,ブーベ島,NOK
32,76,BRA,Brazil,ブラジル連邦共和国,BRL
33,86,IOT,British Indian Ocean Territory,英領インド洋地域,GBP
34,96,BRN,Brunei Darussalam,ブルネイ・ダルサラーム国,BND
35,100,BGR,Bulgaria,ブルガリア共和国,BGN
36,854,BFA,Burkina,Faso	ブルキナファソ,XOF
37,108,BDI,Burundi,ブルンジ共和国,BIF
38,116,KHM,Cambodia,カンボジア王国,KHR
39,120,CMR,Cameroon,カメルーン共和国,XAF
40,124,CAN,Canada,カナダ,CAD
41,132,CPV,Cape Verde,カーボベルデ共和国,CVE
42,136,CYM,Cayman Islands,ケイマン諸島,KYD
43,140,CAF,Central African Republic,中央アフリカ共和国,XAF
44,148,TCD,Chad,チャド共和国,XAF
45,152,CHL,Chile,チリ共和国,CLP
46,156,CHN,China,中華人民共和国	,NY
47,162,CXR,Christmas Island,クリスマス島,AUD
48,166,CCK,Cocos (Keeling) Islands,ココス諸島,AUD
49,170,COL,Colombia,コロンビア共和国,COP
50,174,COM,Comoros,コモロ連合,KMF
51,178,COG,Congo Republic of the,コンゴ共和国,XAF
52,180,COD,Congo Democratic Republic of the,コンゴ民主共和国,CDF
53,184,COK,Cook Islands,クック諸島,NZD
54,188,CRI,Costa Rica,コスタリカ共和国,CRC
55,384,CIV,Cote d'Ivoire,コートジボワール共和国,XOF
56,191,HRV,Croatia,クロアチア共和国,HRK
57,192,CUB,Cuba,キューバ共和国,CUC
58,531,CUW,Curacao,キュラソー,ANG
59,196,CYP,Cyprus,キプロス共和国,EUR
60,203,CZE,Czech Republic,チェコ共和国,CZK
61,208,DNK,Denmark,デンマーク王国,DKK
62,262,DJI,Djibouti,ジブチ共和国,DJF
63,212,DMA,Dominica,ドミニカ国,XCD
64,214,DOM,Dominican Republic,ドミニカ共和国,DOP
65,218,ECU,Ecuador,エクアドル共和国,USD
